Date,PL Account,Amount,Description,Counterparty
2023-06-10,Other comprehensive income,1508.88,Transaction 1745,Counterparty 1745
2023-04-04,Donation,-434.56,Transaction 1746,Counterparty 1746
2023-01-19,Professional services:Legal consultancy,851.38,Transaction 1747,Counterparty 1747
2023-11-19,Prepaid Income,-1678.57,Transaction 1748,Counterparty 1748
2023-09-24,Cost of sales,3140.48,Transaction 1749,Counterparty 1749
2023-05-22,Prepaid Income,-3581.72,Transaction 1750,Counterparty 1750
2023-12-13,Goodwill,2380.48,Transaction 1751,Counterparty 1751
2023-11-10,"Property, Plant And Equipment Accumulated Depreciation",-4819.7,Transaction 1752,Counterparty 1752
2023-08-15,Travelling expenses,-2840.57,Transaction 1753,Counterparty 1753
2024-04-30,Professional services:Professional services,-729.31,Transaction 1754,Counterparty 1754
2023-03-15,Comissions and fees from sales,-1618.58,Transaction 1755,Counterparty 1755
2023-04-06,CHASE CHE *8731,3521.82,Transaction 1756,Counterparty 1756
2023-10-20,Liabilities related to assets held for sale,-2562.04,Transaction 1757,Counterparty 1757
2024-04-03,Accounts Receivable (A/R) - EUR,742.61,Transaction 1758,Counterparty 1758
2023-01-21,Sales,-4026.52,Transaction 1759,Counterparty 1759
2023-04-05,Marketing and sales:Design,3701.52,Transaction 1760,Counterparty 1760
2023-09-28,R&D expenses:R&D software & other services,4838.08,Transaction 1761,Counterparty 1761
2024-04-08,Professional services:Financial consultancy,-4022.22,Transaction 1762,Counterparty 1762
2023-12-10,Current portion of long-term debt,1959.87,Transaction 1763,Counterparty 1763
2024-01-11,Travelling expenses,-2520.17,Transaction 1764,Counterparty 1764
2023-03-17,Liabilities related to assets held for sale,-3862.26,Transaction 1765,Counterparty 1765
2023-12-20,Short-term debit,-4556.56,Transaction 1766,Counterparty 1766
2023-08-16,Marketing and sales:Sales team salary,3924.54,Transaction 1767,Counterparty 1767
2023-06-29,Grants and other financial income,-3024.54,Transaction 1768,Counterparty 1768
2023-05-07,Office expenses,-4962.6,Transaction 1769,Counterparty 1769
2023-01-17,CHASE CHE *8731,4720.38,Transaction 1770,Counterparty 1770
2023-03-07,Income tax payable,-566.95,Transaction 1771,Counterparty 1771
2023-06-30,Interest Income,-1370.83,Transaction 1772,Counterparty 1772
2024-05-09,Other Expenses:Social Tax,-1354.64,Transaction 1773,Counterparty 1773
2023-05-14,Stripe expenses,-48.21,Transaction 1774,Counterparty 1774
2023-05-21,Direct labour,3532.26,Transaction 1775,Counterparty 1775
2023-02-13,Bookkeeping (reporting),299.4,Transaction 1776,Counterparty 1776
2024-06-14,Accrued liabilities,-3663.4,Transaction 1777,Counterparty 1777
2023-03-01,Project's direct cost:Software expenses,-1937.52,Transaction 1778,Counterparty 1778
2023-03-23,Inventory,4597.43,Transaction 1779,Counterparty 1779
2023-03-14,"Marketing and sales:Content creation (newsletters, blog, social media)",4615.92,Transaction 1780,Counterparty 1780
2023-06-06,Staff expenses:Education,165.28,Transaction 1781,Counterparty 1781
2023-03-31,Professional services:Financial & legal software,-2168.86,Transaction 1782,Counterparty 1782
2024-05-26,Professional services:Financial consultancy,1729.0,Transaction 1783,Counterparty 1783
2024-04-27,Professional services:Financial consultancy,4365.36,Transaction 1784,Counterparty 1784
2023-04-14,R&D expenses:R&D software & other services,830.72,Transaction 1785,Counterparty 1785
2023-08-17,Project's direct cost,-2615.2,Transaction 1786,Counterparty 1786
2023-12-22,Staff expenses:Recruitment software,268.17,Transaction 1787,Counterparty 1787
2023-12-04,"Property, Plant And Equipment Accumulated Depreciation",374.03,Transaction 1788,Counterparty 1788
2023-02-09,Staff expenses:Education,-36.32,Transaction 1789,Counterparty 1789
2023-06-16,Stripe fees,-1810.68,Transaction 1790,Counterparty 1790
2024-04-05,Accounts Payable (A/P),2204.43,Transaction 1791,Counterparty 1791
2023-08-08,Prepaid expenses administrative,-2483.23,Transaction 1792,Counterparty 1792
2023-06-21,Receiving & Repayment of loans,554.3,Transaction 1793,Counterparty 1793
2024-05-30,Payroll Clearing,-990.94,Transaction 1794,Counterparty 1794
2023-03-25,Dividends payable,-424.21,Transaction 1795,Counterparty 1795
2024-06-10,"Property, plant and equipment",-461.25,Transaction 1796,Counterparty 1796
2023-03-22,Accrued holiday payable,-4618.57,Transaction 1797,Counterparty 1797
2023-11-18,Staff expenses:Recruitment software,-3868.1,Transaction 1798,Counterparty 1798
2023-06-10,Professional services:Legal consultancy,-2251.89,Transaction 1799,Counterparty 1799
2024-04-21,G&A expenses:Salary G&A Tax Expenses,1786.56,Transaction 1800,Counterparty 1800
2024-02-25,Stripe fees,-3003.81,Transaction 1801,Counterparty 1801
2023-05-26,Grants and other financial income,596.34,Transaction 1802,Counterparty 1802
2024-02-15,Short-term debit,-3339.79,Transaction 1803,Counterparty 1803
2023-07-16,Project's direct cost:Software expenses,-498.48,Transaction 1804,Counterparty 1804
2024-04-29,Direct labour:Bonuses,996.32,Transaction 1805,Counterparty 1805
2023-03-18,Staff expenses:Education,-2131.68,Transaction 1806,Counterparty 1806
2024-04-17,Grants and other financial income,-2768.91,Transaction 1807,Counterparty 1807
2023-10-08,Essential subscription,3045.78,Transaction 1808,Counterparty 1808
2023-02-16,Bookkeeping subscription,458.49,Transaction 1809,Counterparty 1809
2023-12-17,Professional services:Legal consultancy,1603.88,Transaction 1810,Counterparty 1810
2023-08-04,Dividends payable,-3559.72,Transaction 1811,Counterparty 1811
2023-03-17,Proceeds from debt,1464.55,Transaction 1812,Counterparty 1812
2023-05-27,Marketing and sales:Refferal program,-3771.51,Transaction 1813,Counterparty 1813
2023-08-27,Income,1347.53,Transaction 1814,Counterparty 1814
2023-03-19,R&D expenses:R&D software & other services,-997.86,Transaction 1815,Counterparty 1815
2023-10-16,Direct labour,3583.91,Transaction 1816,Counterparty 1816
2023-07-07,Direct labour:Project team salary,1700.73,Transaction 1817,Counterparty 1817
2024-05-17,Retained Earnings,587.36,Transaction 1818,Counterparty 1818
2023-07-27,Office expenses:Office equipment,-665.03,Transaction 1819,Counterparty 1819
2023-04-28,Payroll liabilities,719.45,Transaction 1820,Counterparty 1820
2023-02-09,R&D expenses:R&D software & other services,-4732.15,Transaction 1821,Counterparty 1821
2024-04-22,Long-Term Investments,-4756.77,Transaction 1822,Counterparty 1822
2024-01-15,Common stock,-4932.67,Transaction 1823,Counterparty 1823
2024-02-13,Marketing and sales:Marketing team salary,-45.39,Transaction 1824,Counterparty 1824
2023-03-28,Accrued holiday payable,3112.17,Transaction 1825,Counterparty 1825
2023-09-01,Amortisation / Depreciation:Amortisation,-3024.18,Transaction 1826,Counterparty 1826
2023-04-23,Marketing and sales:Refferal program,1432.5,Transaction 1827,Counterparty 1827
2024-04-21,Stripe sales,803.9,Transaction 1828,Counterparty 1828
2023-09-20,Proceeds from debt,-425.09,Transaction 1829,Counterparty 1829
2024-05-27,Project's direct cost:Software expenses,2037.23,Transaction 1830,Counterparty 1830
2024-06-13,Marketing and sales:Other sales expenses,4574.88,Transaction 1831,Counterparty 1831
2024-06-03,Purchase & Sales of property and equipment,-4090.23,Transaction 1832,Counterparty 1832
2024-04-13,Project's direct cost:Subcontractors,-75.63,Transaction 1833,Counterparty 1833
2024-03-10,Professional services:Professional services,2963.44,Transaction 1834,Counterparty 1834
2023-01-21,Inventory,230.46,Transaction 1835,Counterparty 1835
2023-12-08,Interest Expenses,-4242.34,Transaction 1836,Counterparty 1836
2024-04-10,Financial Modeling,-2454.5,Transaction 1837,Counterparty 1837
2024-01-13,Interest Income,-680.24,Transaction 1838,Counterparty 1838
2024-02-17,Other Expenses,-3331.18,Transaction 1839,Counterparty 1839
2023-01-21,Less,-364.04,Transaction 1840,Counterparty 1840
2023-05-30,Undeposited Funds,3033.99,Transaction 1841,Counterparty 1841
2024-03-11,Uncategorised Asset,-3876.31,Transaction 1842,Counterparty 1842
2023-11-30,Staff expenses:Operational software,4725.35,Transaction 1843,Counterparty 1843
2023-10-30,Sales,-4593.5,Transaction 1844,Counterparty 1844
2023-04-11,Marketing and sales:Other marketing expenses,232.29,Transaction 1845,Counterparty 1845
2023-03-29,Inventory Asset,-381.21,Transaction 1846,Counterparty 1846
2024-02-24,Uncategorised Income,1803.78,Transaction 1847,Counterparty 1847
2023-08-02,Dividends paid,1717.19,Transaction 1848,Counterparty 1848
2023-02-06,Marketing and sales:Advertising,-4213.05,Transaction 1849,Counterparty 1849
2023-04-23,Uncategorised Asset,-1474.89,Transaction 1850,Counterparty 1850
2023-04-09,Stripe,2040.14,Transaction 1851,Counterparty 1851
2023-09-28,Taxes:State Taxes,1533.09,Transaction 1852,Counterparty 1852
2023-07-06,Less:Discount,3586.5,Transaction 1853,Counterparty 1853
2023-09-16,Direct labour:Project team salary,-1965.8,Transaction 1854,Counterparty 1854
2023-05-04,Direct labour:Labour tax,-4466.97,Transaction 1855,Counterparty 1855
2023-09-28,Accounts Receivable (A/R),-391.78,Transaction 1856,Counterparty 1856
2023-05-19,Short-Term Investments,-4093.89,Transaction 1857,Counterparty 1857
2024-01-30,Stripe,-2414.76,Transaction 1858,Counterparty 1858
2023-07-20,R&D expenses:R&D software & other services,-2194.11,Transaction 1859,Counterparty 1859
2024-02-14,Stripe fees,-3747.38,Transaction 1860,Counterparty 1860
2023-01-30,Accounts Payable (A/P),-3482.4,Transaction 1861,Counterparty 1861
2023-02-13,Other Expenses:Other general and administrative expenses,-3894.19,Transaction 1862,Counterparty 1862
2023-12-19,Marketing and sales:Sales software & other services,-2095.87,Transaction 1863,Counterparty 1863
2023-02-10,Stripe expenses,3342.36,Transaction 1864,Counterparty 1864
2023-10-09,Marketing and sales:Sales team salary,-2308.36,Transaction 1865,Counterparty 1865
2024-01-03,Office expenses:Rent,2910.58,Transaction 1866,Counterparty 1866
2023-11-01,Goodwill,78.41,Transaction 1867,Counterparty 1867
2024-06-12,Cost of sales,234.9,Transaction 1868,Counterparty 1868
2023-11-08,Mercury Savings *6214,-1059.82,Transaction 1869,Counterparty 1869
2023-01-31,Prepaid expenses for projects,-3622.56,Transaction 1870,Counterparty 1870
2023-01-15,Comissions and fees from sales,-3177.29,Transaction 1871,Counterparty 1871
2023-07-30,Amortisation / Depreciation:Depreciation,1697.49,Transaction 1872,Counterparty 1872
2023-08-23,Common stock,-148.48,Transaction 1873,Counterparty 1873
2023-04-22,Less:Refferal discount,-3085.66,Transaction 1874,Counterparty 1874
2024-01-18,Professional services:Professional services,3849.36,Transaction 1875,Counterparty 1875
2023-06-18,Less:Discount,374.22,Transaction 1876,Counterparty 1876
2024-03-04,Amortisation / Depreciation:Amortisation,-4503.57,Transaction 1877,Counterparty 1877
2023-09-24,Less,-4583.41,Transaction 1878,Counterparty 1878
2023-03-02,Intangible assets,-1532.22,Transaction 1879,Counterparty 1879
2023-04-07,CHASE CHE *8731,1852.75,Transaction 1880,Counterparty 1880
2023-03-29,Stripe sales,-2602.4,Transaction 1881,Counterparty 1881
2024-03-22,Taxes,1497.04,Transaction 1882,Counterparty 1882
2023-11-29,Professional services:Financial consultancy,-4562.22,Transaction 1883,Counterparty 1883
2023-03-22,Comissions and fees from sales:Stripe fee,1314.42,Transaction 1884,Counterparty 1884
2023-02-10,Exchange Gain,-985.24,Transaction 1885,Counterparty 1885
2024-06-13,Project's direct cost,-1993.6,Transaction 1886,Counterparty 1886
2023-02-14,CHASE CHE *8731,4987.83,Transaction 1887,Counterparty 1887
2023-10-27,Professional services:Financial consultancy,-888.6,Transaction 1888,Counterparty 1888
2023-11-16,Exchange Loss,518.03,Transaction 1889,Counterparty 1889
2023-06-08,Interest Income,324.12,Transaction 1890,Counterparty 1890
2023-07-26,Marketing and sales:Other marketing expenses,838.39,Transaction 1891,Counterparty 1891
2023-12-27,Long-term debt,4740.04,Transaction 1892,Counterparty 1892
2024-04-16,Sales,136.48,Transaction 1893,Counterparty 1893
2023-11-26,Less:Refferal discount,2100.73,Transaction 1894,Counterparty 1894
2023-12-09,Purchase & Sales of property and equipment,2786.22,Transaction 1895,Counterparty 1895
2023-04-13,Less:Discount,-646.6,Transaction 1896,Counterparty 1896
2023-11-02,Intangible Assets Accumulated Amortization,1708.21,Transaction 1897,Counterparty 1897
2023-04-10,Office expenses,4807.48,Transaction 1898,Counterparty 1898
2023-02-11,Office expenses,-4687.32,Transaction 1899,Counterparty 1899
2024-04-21,Share capital,-1085.68,Transaction 1900,Counterparty 1900
2024-04-26,Available for sale assets (short-term),3231.6,Transaction 1901,Counterparty 1901
2023-08-29,Office expenses:Other office expenses,-1335.02,Transaction 1902,Counterparty 1902
2023-09-22,Professional services,-2593.95,Transaction 1903,Counterparty 1903
2024-04-19,Taxes,296.84,Transaction 1904,Counterparty 1904
2023-04-30,Uncategorised Expense,4546.67,Transaction 1905,Counterparty 1905
2023-09-28,Direct labour:Labour tax,-355.75,Transaction 1906,Counterparty 1906
2023-06-04,Marketing and sales:PR,4445.53,Transaction 1907,Counterparty 1907
2024-01-01,Principal repayment of lease obligations,3795.92,Transaction 1908,Counterparty 1908
2023-07-28,Professional services:Bookkeeping,-478.1,Transaction 1909,Counterparty 1909
2023-07-04,Professional services:Professional services,-1022.91,Transaction 1910,Counterparty 1910
2024-03-01,R&D expenses,-876.0,Transaction 1911,Counterparty 1911
2024-01-13,Amortisation / Depreciation,-1366.92,Transaction 1912,Counterparty 1912
2023-06-05,Marketing and sales:PR,2483.48,Transaction 1913,Counterparty 1913
2023-02-14,Professional services:Bookkeeping,4122.25,Transaction 1914,Counterparty 1914
2023-07-21,Marketing and sales:Other sales expenses,4407.41,Transaction 1915,Counterparty 1915
2023-11-02,Short-Term Investments,-1984.52,Transaction 1916,Counterparty 1916
2023-01-24,Donation,4832.62,Transaction 1917,Counterparty 1917
2023-02-19,Direct labour:Project team salary,4713.3,Transaction 1918,Counterparty 1918
2023-04-27,Other income,590.67,Transaction 1919,Counterparty 1919
2024-06-14,Financial Modeling,-4196.74,Transaction 1920,Counterparty 1920
2024-04-11,Marketing and sales:Marketing team salary,-780.75,Transaction 1921,Counterparty 1921
2023-10-19,Exchange Gain,-1342.4,Transaction 1922,Counterparty 1922
2023-11-24,Less,4077.66,Transaction 1923,Counterparty 1923
2024-02-26,CHASE SAV *2868,2044.11,Transaction 1924,Counterparty 1924
2024-01-26,Proceeds from debt,1848.93,Transaction 1925,Counterparty 1925
2024-02-04,Marketing and sales:Sales team salary,-4751.92,Transaction 1926,Counterparty 1926
2023-04-18,Accounts Receivable (A/R),1533.55,Transaction 1927,Counterparty 1927
2023-01-18,Marketing and sales:M&S team salary tax expenses,-1252.84,Transaction 1928,Counterparty 1928
2024-03-05,Marketing and sales:Sales bonus,-991.82,Transaction 1929,Counterparty 1929
2023-04-27,Uncategorised Expense,-398.77,Transaction 1930,Counterparty 1930
2024-02-21,Professional services:Financial consultancy,-4024.91,Transaction 1931,Counterparty 1931
2024-03-14,Staff expenses:Corporate events,4075.13,Transaction 1932,Counterparty 1932
2023-12-02,R&D expenses,-3776.61,Transaction 1933,Counterparty 1933
2023-03-09,Long-term debt,-2063.6,Transaction 1934,Counterparty 1934
2023-12-07,Accounts Receivable (A/R) - EUR,3511.42,Transaction 1935,Counterparty 1935
2023-05-31,Equity in earnings of subsidiaries,3935.25,Transaction 1936,Counterparty 1936
2023-01-06,Marketing and sales:Website improvements,4101.24,Transaction 1937,Counterparty 1937
2024-01-23,Inventory,1058.51,Transaction 1938,Counterparty 1938
2023-01-04,Stripe Other fees,1109.0,Transaction 1939,Counterparty 1939
2023-11-04,Marketing and sales,-782.92,Transaction 1940,Counterparty 1940
2023-05-21,Other comprehensive income,-3569.03,Transaction 1941,Counterparty 1941
2023-09-17,Principal repayment of lease obligations,-3831.92,Transaction 1942,Counterparty 1942
2023-06-20,Purchase & Sales of intangible assets,-1426.48,Transaction 1943,Counterparty 1943
2023-09-06,Other income,301.75,Transaction 1944,Counterparty 1944
2024-05-12,Current portion of long-term debt,3047.48,Transaction 1945,Counterparty 1945
2024-04-13,Interest Expenses,2371.03,Transaction 1946,Counterparty 1946
2023-02-14,G&A expenses:Salary G&A Tax Expenses,3955.09,Transaction 1947,Counterparty 1947
2023-08-25,Payroll Clearing,1651.09,Transaction 1948,Counterparty 1948
2023-08-24,Growth subscription,-2672.64,Transaction 1949,Counterparty 1949
2023-01-24,"Property, Plant And Equipment Accumulated Depreciation",1860.11,Transaction 1950,Counterparty 1950
2024-03-23,WISE USD,-1631.28,Transaction 1951,Counterparty 1951
2023-04-16,Mercury CHE *6028,-2159.65,Transaction 1952,Counterparty 1952
2023-02-20,Accrued liabilities,-2180.56,Transaction 1953,Counterparty 1953
2023-04-29,Other income,-795.08,Transaction 1954,Counterparty 1954
2024-02-24,Prepaid expenses for projects,-4021.33,Transaction 1955,Counterparty 1955
2023-08-12,Less:Discount,-29.51,Transaction 1956,Counterparty 1956
